"","MCPP","ARSON","ASSAULT OFFENSES","BURGLARY/BREAKING&ENTERING","CURFEW/LOITERING/VAGRANCY VIOLATIONS","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","DRIVING UNDER THE INFLUENCE","DRUG/NARCOTIC OFFENSES","EMBEZZLEMENT","EXTORTION/BLACKMAIL","FAMILY OFFENSES, NONVIOLENT","FRAUD OFFENSES","KIDNAPPING/ABDUCTION","LARCENY-THEFT","MOTOR VEHICLE THEFT","ROBBERY","SEX OFFENSES","STOLEN PROPERTY OFFENSES","TRESPASS OF REAL PROPERTY","WEAPON LAW VIOLATIONS","COUNTERFEITING/FORGERY","PORNOGRAPHY/OBSCENE MATERIAL","ANIMAL CRUELTY","DRUNKENNESS","HOMICIDE OFFENSES","LIQUOR LAW VIOLATIONS","BAD CHECKS","PROSTITUTION OFFENSES","HUMAN TRAFFICKING","SEX OFFENSES, CONSENSUAL","PEEPING TOM","GAMBLING OFFENSES","least_n","Least_n","Moderate_n","Most_n","MCPP_adj"
"1","ALASKA JUNCTION",2,193,169,1,124,14,3,1,1,2,59,7,556,154,38,11,10,25,7,0,0,0,0,0,0,0,0,0,0,0,0,87,87,698,592,"ALASKA JUNCTION"
"2","ALKI",1,54,38,0,45,8,1,0,1,0,26,3,149,66,5,2,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,31,31,201,180,"ALKI"
"3","BALLARD NORTH",2,144,140,0,99,22,2,1,3,1,67,2,535,163,15,9,8,21,6,7,2,2,1,1,1,0,0,0,0,0,0,93,93,654,507,"BALLARD NORTH"
"4","BALLARD SOUTH",5,320,373,0,239,35,20,2,1,1,86,4,1109,199,74,7,58,95,25,13,0,1,0,1,0,3,0,0,0,0,0,182,182,1429,1060,"BALLARD SOUTH"
"5","BELLTOWN",3,346,259,1,156,25,35,3,3,1,59,6,613,77,46,10,5,42,19,5,0,5,0,0,2,1,1,0,0,0,0,106,106,794,823,"BELLTOWN"
"6","BITTERLAKE",1,258,145,0,143,35,5,0,1,3,75,10,498,170,30,22,17,34,17,4,0,0,0,4,0,1,19,4,1,0,0,131,131,673,693,"BITTERLAKE"
"7","BRIGHTON/DUNLAP",5,218,93,0,97,14,0,2,1,1,36,3,239,127,24,8,9,13,16,2,2,3,0,1,0,2,0,0,0,0,0,52,52,357,507,"BRIGHTON/DUNLAP"
"8","CAPITOL HILL",15,937,537,0,488,144,35,4,6,5,153,15,1549,313,138,43,31,146,55,14,3,2,2,4,0,4,1,0,0,0,0,310,310,2107,2227,"CAPITOL HILL"
"9","CENTRAL AREA/SQUIRE PARK",3,328,199,0,222,38,14,0,5,2,76,7,834,231,46,18,18,51,20,4,1,1,0,2,2,5,0,1,0,1,0,132,132,1091,906,"CENTRAL AREA/SQUIRE PARK"
"10","CLAREMONT/RAINIER VISTA",1,144,68,0,58,5,1,0,1,0,18,2,158,55,10,2,5,10,11,3,0,0,0,1,0,0,1,0,0,0,0,29,29,226,299,"CLAREMONT/RAINIER VISTA"
"11","COLUMBIA CITY",1,63,68,0,39,6,0,0,2,1,16,2,140,60,7,5,3,9,2,1,2,1,0,1,0,0,0,0,0,0,0,28,28,186,215,"COLUMBIA CITY"
"12","COMMERCIAL DUWAMISH",0,7,12,0,11,8,1,1,0,0,5,0,18,7,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,35,36,"COMMERCIAL DUWAMISH"
"13","COMMERCIAL HARBOR ISLAND",0,3,1,0,4,2,0,0,0,0,1,0,18,5,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,14,"COMMERCIAL HARBOR ISLAND"
"14","DOWNTOWN COMMERCIAL",7,874,380,3,444,61,248,4,7,2,131,13,1647,123,181,37,83,218,154,15,0,1,1,4,8,0,1,0,1,2,0,364,364,2207,2079,"DOWNTOWN COMMERCIAL"
"15","EASTLAKE - EAST",0,7,15,0,13,7,1,0,0,0,1,0,68,18,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,83,49,"EASTLAKE - EAST"
"16","EASTLAKE - WEST",0,38,108,0,46,8,2,0,3,0,18,5,239,68,5,4,10,6,4,1,1,0,0,0,0,0,0,0,0,0,0,25,25,301,240,"EASTLAKE - WEST"
"17","FAUNTLEROY SW",0,22,24,0,22,5,0,0,0,0,7,0,79,42,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11,11,103,97,"FAUNTLEROY SW"
"18","FIRST HILL",9,520,301,0,235,64,20,0,4,1,71,9,696,183,50,25,15,123,27,6,4,3,0,4,0,1,0,0,0,0,0,199,199,965,1207,"FIRST HILL"
"19","FREMONT",4,138,308,0,144,18,0,0,0,1,41,3,590,136,12,9,10,28,5,1,1,1,1,1,0,1,0,0,0,0,0,72,72,750,631,"FREMONT"
"20","GENESEE",1,25,54,0,17,9,1,0,1,0,8,0,116,26,5,1,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,14,14,137,127,"GENESEE"
"21","GEORGETOWN",7,132,125,0,159,38,11,2,1,0,23,2,416,155,19,8,46,27,14,3,0,0,1,2,0,1,0,1,0,0,0,51,51,629,513,"GEORGETOWN"
"22","GREENWOOD",3,210,163,0,137,30,5,0,3,1,51,3,456,152,34,4,15,54,8,5,3,1,0,2,0,1,1,0,0,0,0,110,110,618,614,"GREENWOOD"
"23","HIGH POINT",3,121,51,0,55,11,1,0,2,3,26,5,199,80,14,5,7,16,4,1,1,0,0,1,0,0,0,0,0,0,0,46,46,267,293,"HIGH POINT"
"24","HIGHLAND PARK",0,119,79,0,88,13,2,0,2,1,33,3,281,144,9,5,18,25,8,2,0,0,0,0,0,1,0,0,0,0,0,59,59,393,381,"HIGHLAND PARK"
"25","HILLMAN CITY",2,68,23,0,24,6,0,0,0,1,11,0,73,53,7,3,0,5,2,2,0,0,0,2,0,0,0,0,0,0,0,17,17,99,166,"HILLMAN CITY"
"26","CHINATOWN/INTERNATIONAL DISTRICT",10,456,159,1,289,46,67,2,0,2,34,4,553,88,90,17,67,84,47,5,0,1,0,7,1,1,1,1,0,0,0,123,123,922,988,"INTERNATIONAL DISTRICT"
"27","JUDKINS PARK/NORTH BEACON HILL",12,120,108,0,96,25,9,0,1,2,26,4,327,77,17,7,9,51,11,2,0,1,0,0,0,0,0,0,0,1,0,79,79,439,388,"JUDKINS PARK/NORTH BEACON HILL"
"28","LAKECITY",6,359,244,0,217,24,9,0,4,6,85,7,664,162,36,11,30,102,21,14,0,1,0,0,0,1,0,1,0,0,0,193,193,934,877,"LAKECITY"
"29","LAKEWOOD/SEWARD PARK",0,21,18,0,17,5,0,2,0,0,26,1,115,29,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,29,29,136,79,"LAKEWOOD/SEWARD PARK"
"30","MADRONA/LESCHI",1,114,84,0,76,25,4,0,2,0,40,2,360,117,12,8,3,23,14,2,1,1,0,0,0,3,0,0,0,0,0,64,64,447,381,"LESCHI/MADRONA"
"31","MADISON PARK",0,14,26,0,19,13,0,1,0,0,17,0,103,28,3,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,20,20,127,87,"MADISON PARK"
"32","MAGNOLIA",3,106,150,0,90,11,2,0,1,0,67,1,494,114,20,8,5,25,5,5,1,1,0,0,0,0,0,0,0,0,0,93,93,596,420,"MAGNOLIA"
"33","MID BEACON HILL",3,77,68,0,47,13,2,0,0,0,42,2,244,127,11,4,12,12,7,0,0,1,0,2,0,0,0,0,1,0,0,54,54,306,315,"MID BEACON HILL"
"34","MILLER PARK",1,48,65,0,57,8,0,0,4,1,20,0,210,82,5,4,3,15,3,0,1,0,0,0,0,0,0,0,0,0,0,37,37,270,220,"MILLER PARK"
"35","MONTLAKE/PORTAGE BAY",0,31,62,0,43,19,4,0,1,1,17,0,209,43,4,1,7,7,5,1,0,0,0,1,0,0,0,0,0,0,0,25,25,260,171,"MONTLAKE/PORTAGE BAY"
"36","MORGAN",2,91,49,0,59,11,0,0,1,0,38,5,235,106,6,3,2,3,2,4,0,0,0,0,0,0,0,0,1,0,0,41,41,305,272,"MORGAN"
"37","MOUNT BAKER",6,139,141,0,85,17,8,2,0,1,26,2,604,103,42,7,22,26,12,4,2,1,0,0,0,0,0,0,0,0,0,55,55,720,475,"MOUNT BAKER"
"38","NEW HOLLY",1,102,31,0,43,7,2,0,2,0,21,3,177,61,21,5,3,6,7,2,0,0,0,0,0,0,0,0,0,0,0,27,27,228,239,"NEW HOLLY"
"39","NORTH ADMIRAL",1,91,78,0,65,18,0,0,3,0,42,3,342,87,15,6,2,11,6,3,3,0,0,0,0,0,0,0,0,0,0,56,56,415,305,"NORTH ADMIRAL"
"40","NORTH BEACON HILL",5,231,133,0,112,34,4,1,2,1,61,4,552,215,52,5,19,28,14,5,0,0,0,0,0,1,0,0,1,0,0,90,90,694,696,"NORTH BEACON HILL"
