"","MCPP","ARSON","ASSAULT OFFENSES","BURGLARY/BREAKING&ENTERING","DRIVING UNDER THE INFLUENCE","DRUG/NARCOTIC OFFENSES","EXTORTION/BLACKMAIL","MOTOR VEHICLE THEFT","ROBBERY","SEX OFFENSES","WEAPON LAW VIOLATIONS","HOMICIDE OFFENSES","HUMAN TRAFFICKING","SEX OFFENSES, CONSENSUAL","PEEPING TOM"
"1","ALASKA JUNCTION",2,193,169,14,3,1,154,38,11,7,0,0,0,0
"2","ALKI",1,54,38,8,1,1,66,5,2,4,0,0,0,0
"3","BALLARD NORTH",2,144,140,22,2,3,163,15,9,6,1,0,0,0
"4","BALLARD SOUTH",5,320,373,35,20,1,199,74,7,25,1,0,0,0
"5","BELLTOWN",3,346,259,25,35,3,77,46,10,19,0,0,0,0
"6","BITTERLAKE",1,258,145,35,5,1,170,30,22,17,4,4,1,0
"7","BRIGHTON/DUNLAP",5,218,93,14,0,1,127,24,8,16,1,0,0,0
"8","CAPITOL HILL",15,937,537,144,35,6,313,138,43,55,4,0,0,0
"9","CENTRAL AREA/SQUIRE PARK",3,328,199,38,14,5,231,46,18,20,2,1,0,1
"10","CHINATOWN/INTERNATIONAL DISTRICT",10,456,159,46,67,0,88,90,17,47,7,1,0,0
"11","CLAREMONT/RAINIER VISTA",1,144,68,5,1,1,55,10,2,11,1,0,0,0
"12","COLUMBIA CITY",1,63,68,6,0,2,60,7,5,2,1,0,0,0
"13","COMMERCIAL DUWAMISH",0,7,12,8,1,0,7,1,0,0,0,0,0,0
"14","COMMERCIAL HARBOR ISLAND",0,3,1,2,0,0,5,1,1,1,0,0,0,0
"15","DOWNTOWN COMMERCIAL",7,874,380,61,248,7,123,181,37,154,4,0,1,2
"16","EASTLAKE - EAST",0,7,15,7,1,0,18,0,1,0,0,0,0,0
"17","EASTLAKE - WEST",0,38,108,8,2,3,68,5,4,4,0,0,0,0
"18","FAUNTLEROY SW",0,22,24,5,0,0,42,1,1,2,0,0,0,0
"19","FIRST HILL",9,520,301,64,20,4,183,50,25,27,4,0,0,0
"20","FREMONT",4,138,308,18,0,0,136,12,9,5,1,0,0,0
"21","GENESEE",1,25,54,9,1,1,26,5,1,4,0,0,0,0
"22","GEORGETOWN",7,132,125,38,11,1,155,19,8,14,2,1,0,0
"23","GREENWOOD",3,210,163,30,5,3,152,34,4,8,2,0,0,0
"24","HIGH POINT",3,121,51,11,1,2,80,14,5,4,1,0,0,0
"25","HIGHLAND PARK",0,119,79,13,2,2,144,9,5,8,0,0,0,0
"26","HILLMAN CITY",2,68,23,6,0,0,53,7,3,2,2,0,0,0
"27","JUDKINS PARK/NORTH BEACON HILL",12,120,108,25,9,1,77,17,7,11,0,0,0,1
"28","LAKECITY",6,359,244,24,9,4,162,36,11,21,0,1,0,0
"29","LAKEWOOD/SEWARD PARK",0,21,18,5,0,0,29,2,4,0,0,0,0,0
"30","MADISON PARK",0,14,26,13,0,0,28,3,0,3,0,0,0,0
"31","MADRONA/LESCHI",1,114,84,25,4,2,117,12,8,14,0,0,0,0
"32","MAGNOLIA",3,106,150,11,2,1,114,20,8,5,0,0,0,0
"33","MID BEACON HILL",3,77,68,13,2,0,127,11,4,7,2,0,1,0
"34","MILLER PARK",1,48,65,8,0,4,82,5,4,3,0,0,0,0
"35","MONTLAKE/PORTAGE BAY",0,31,62,19,4,1,43,4,1,5,1,0,0,0
"36","MORGAN",2,91,49,11,0,1,106,6,3,2,0,0,1,0
"37","MOUNT BAKER",6,139,141,17,8,0,103,42,7,12,0,0,0,0
"38","NEW HOLLY",1,102,31,7,2,2,61,21,5,7,0,0,0,0
"39","NORTH ADMIRAL",1,91,78,18,0,3,87,15,6,6,0,0,0,0
"40","NORTH BEACON HILL",5,231,133,34,4,2,215,52,5,14,0,0,1,0
"41","NORTH DELRIDGE",1,108,65,5,0,2,93,8,6,8,1,1,0,0
"42","NORTHGATE",11,590,349,67,33,5,356,127,43,42,2,1,0,1
"43","PHINNEY RIDGE",0,26,82,7,2,0,57,3,1,2,0,0,0,0
"44","PIGEON POINT",0,11,14,0,1,0,19,0,0,5,0,0,0,0
"45","PIONEER SQUARE",0,320,61,10,8,1,41,29,17,13,2,1,0,0
"46","QUEEN ANNE",4,478,796,55,14,6,378,64,26,21,1,0,0,0
"47","RAINIER BEACH",0,164,53,12,0,3,78,37,7,13,0,0,0,0
"48","RAINIER VIEW",1,84,44,10,0,1,51,8,2,4,0,0,0,0
"49","ROOSEVELT/RAVENNA",1,243,370,23,2,5,263,56,16,13,0,1,1,1
"50","ROXHILL/WESTWOOD/ARBOR HEIGHTS",3,148,83,9,3,2,120,38,9,9,1,0,1,0
"51","SANDPOINT",4,201,183,23,2,5,167,19,16,5,1,1,1,0
"52","SLU/CASCADE",8,614,459,66,41,7,172,75,20,42,1,1,0,0
"53","SODO",9,195,127,47,9,0,127,44,13,16,0,0,0,0
"54","SOUTH BEACON HILL",0,42,27,2,2,0,36,7,2,5,0,0,0,0
"55","SOUTH DELRIDGE",0,67,43,3,3,1,40,12,2,5,0,0,0,0
"56","SOUTH PARK",1,96,55,12,4,0,82,13,6,7,0,0,0,0
"57","UNIVERSITY",8,442,489,15,12,4,268,53,27,30,3,0,1,2
"58","WALLINGFORD",2,125,249,18,7,3,185,22,6,3,1,0,0,0
